State,Lat,Long_,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07
Alabama,32.3182,-86.9023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,9.52,9.52,14.29,14.29,14.29,22.62,26.19,26.19,41.67,48.81,48.81,48.81,48.81,55.95,55.95,55.95,55.95,64.29,64.29,64.29,64.29,64.29,64.29,69.05,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,59.05,59.05,59.05,59.05,59.05,59.05,59.05,59.05,59.05,59.05,57.14,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,50,50,50,50,50,50,50,50,50,50,50,50,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,NA,NA,NA,NA,NA,NA
Alaska,61.3707,-152.4044,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,19.05,19.05,19.05,44.29,57.14,65.48,65.48,65.48,61.9,72.62,72.62,72.62,72.62,72.62,72.62,83.33,83.33,83.33,83.33,83.33,83.33,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,88.1,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,66.19,66.19,66.19,66.19,66.19,66.19,66.19,63.33,63.33,63.33,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,53.81,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,55,55,55,55,55,55,55,55,55,55,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57,58.57
Arizona,33.7298,-111.4312,0,0,0,0,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,23.81,30.95,30.95,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,45.24,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,84.52,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,70.24,70.24,70.24,70.24,70.24,70.24,70.24,66.67,63.81,63.81,63.81,63.81,63.81,63.81,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,60.24,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,41.67,41.67,41.67,41.67,41.67,41.67,32.14,32.14,32.14,32.14,32.14,32.14,32.14
Arkansas,34.9697,-92.3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,13.1,18.81,18.81,18.81,28.1,45.95,45.95,45.95,45.95,45.95,45.95,45.95,45.95,45.95,45.95,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,48.81,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,53.57,50.71,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,72.14,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,43.57,43.57,43.57,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,36.43,NA
California,36.1162,-119.6816,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,29.76,29.76,29.76,29.76,41.67,41.67,41.67,41.67,41.67,41.67,59.52,64.29,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52,59.52
Colorado,39.0598,-105.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,18.1,18.1,18.1,29.76,46.43,46.43,46.43,51.19,51.19,51.19,51.19,54.76,64.29,64.29,72.62,72.62,72.62,77.38,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,60.71,58.33,58.33,58.33,58.33,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52,49.52
Connecticut,41.5978,-72.7554,0,0,0,0,0,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,23.81,30.95,30.95,30.95,34.52,34.52,34.52,47.14,50.71,50.71,50.71,50.71,50.71,60.24,63.81,63.81,63.81,66.67,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,72.62,69.76,69.76,69.76,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,66.19,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,70.95,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,67.38,NA,NA,NA,NA,NA,NA
Delaware,39.3185,-75.5071,0,0,0,0,0,0,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,9.52,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,13.1,17.86,17.86,17.86,17.86,17.86,17.86,17.86,25,25,25,34.52,36.9,36.9,36.9,66.67,66.67,76.19,76.19,76.19,76.19,76.19,76.19,77.38,77.38,77.38,77.38,77.38,77.38,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,80.95,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,77.38,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,73.81,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,70.24,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,69.05,65.48,65.48,65.48,65.48,65.48,65.48,65.48,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,NA,NA,NA,NA,NA,NA
Florida,27.7663,-81.6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,9.52,9.52,9.52,9.52,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,30.95,34.52,34.52,34.52,52.38,64.29,57.86,57.86,66.19,66.19,66.19,66.19,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,76.19,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,73.33,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,69.76,66.19,66.19,66.19,66.19,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.48,55.48,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,44.76,41.9,41.9,41.9,41.9,41.9,41.9,41.9,34.76,34.76,34.76,34.76,34.76,34.76
Georgia,33.0406,-83.6431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.71,40,40,40,40,40,47.14,47.14,47.14,47.14,47.14,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,50.71,53.57,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,64.29,69.05,69.05,69.05,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,51.19,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,44.05,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,47.62,50,50,50,50,50,50,50
